stop_sequence;stop_name;latitude;longitude;demand_level
1;ЖК Айсанам;51.115589;71.431153;MEDIUM
2;ЖК Акжайык;51.111838;71.432435;MEDIUM
3;ЖК Асыл Парк;51.108991;71.430193;MEDIUM
