point_sequence;latitude;longitude
1;51.116107;71.427752
2;51.115952;71.428717
3;51.115791;71.429887
4;51.115703;71.430552
5;51.115589;71.431153
6;51.115495;71.431807
7;51.1154;71.43259
8;51.115286;71.433513
9;51.115232;71.433932
10;51.114801;71.433749
11;51.113576;71.433331
12;51.112647;71.432977
13;51.112306;71.432687
14;51.111838;71.432435
15;51.11132;71.432456
16;51.110065;71.432022
17;51.108786;71.431593
18;51.108837;71.430691
19;51.108991;71.430193
20;51.108971;71.429774
21;51.109169;71.428299
22;51.109438;71.4264
23;51.10956;71.425509
