point_sequence;latitude;longitude
1;51.117047;71.388453
2;51.117103;71.388496
3;51.11714;71.388514
4;51.117202;71.388533
5;51.117263;71.388557
6;51.117312;71.388592
7;51.117361;71.388633
8;51.117389;71.388724
9;51.117409;71.388799
10;51.117431;71.388858
11;51.117467;71.388949
12;51.117478;71.389049
13;51.117482;71.389126
14;51.117465;71.389204
15;51.117438;71.389368
16;51.117408;71.389531
17;51.117374;71.389733
18;51.117339;71.389923
19;51.117324;71.390012
20;51.117305;71.390116
21;51.117285;71.390245
22;51.117258;71.390428
23;51.117239;71.390578
24;51.117236;71.390685
25;51.117334;71.390718
26;51.117391;71.390731
27;51.117419;71.390739
28;51.117515;71.390834
29;51.117636;71.390944
30;51.11774;71.391043
31;51.117809;71.391123
32;51.117905;71.391225
33;51.117979;71.39133
34;51.118062;71.391445
35;51.118181;71.391604
36;51.118323;71.391775
37;51.118432;71.391904
38;51.118565;71.392047
39;51.118686;71.392191
40;51.118863;71.392395
41;51.119066;71.392618
42;51.119166;71.392725
43;51.11923;71.392776
44;51.119381;71.392836
45;51.119504;71.392876
46;51.1196;71.392895
47;51.119662;71.392927
48;51.119716;71.393234
49;51.119829;71.393275
50;51.119863;71.393226
51;51.119908;71.393114
52;51.119943;71.393023
53;51.120038;71.393049
54;51.120219;71.393108
55;51.120393;71.393167
56;51.120524;71.393221
57;51.120698;71.393277
58;51.120841;71.393334
59;51.120974;71.393371
60;51.121147;71.393422
61;51.121354;71.3935
62;51.121474;71.393554
63;51.121502;71.393607
64;51.121514;71.393656
65;51.121534;71.393792
66;51.121531;71.393851
67;51.121648;71.393908
68;51.121698;71.393862
69;51.121773;71.393865
70;51.121827;71.393741
71;51.121851;71.393682
72;51.121987;71.393723
73;51.122129;71.393771
74;51.122305;71.39383
75;51.122555;71.393916
76;51.12276;71.393977
77;51.122945;71.394055
78;51.123152;71.394117
79;51.123309;71.394171
80;51.123504;71.394248
81;51.123612;71.394283
82;51.123649;71.394452
83;51.12364;71.394533
84;51.123802;71.394588
85;51.123864;71.394546
