point_sequence;latitude;longitude
86;51.123918;71.394455
87;51.123943;71.394385
88;51.124176;71.394463
89;51.124462;71.394559
90;51.124718;71.394637
91;51.124895;71.394712
92;51.125048;71.394758
93;51.125196;71.394798
94;51.125477;71.394889
95;51.125691;71.394956
96;51.125874;71.395023
97;51.126043;71.395077
98;51.126283;71.39515
99;51.126679;71.395289
100;51.126974;71.395383
101;51.127258;71.395469
102;51.12748;71.395546
103;51.127694;71.395611
104;51.127861;71.395665
105;51.12799;71.395724
106;51.128076;71.395764
107;51.128046;71.396029
108;51.128031;71.396139
109;51.127987;71.396239
110;51.127928;71.396343
111;51.127881;71.39641
112;51.127856;71.396504
113;51.127814;71.396552
114;51.127787;71.396691
115;51.127772;71.39678
116;51.127793;71.396872
117;51.127836;71.396981
118;51.127866;71.397091
119;51.127893;71.39722
120;51.127864;71.397467
121;51.127846;71.397617
122;51.127815;71.397813
123;51.127798;71.397939
124;51.127798;71.398052
125;51.12777;71.398175
126;51.127755;71.398315
127;51.127719;71.398647
128;51.127679;71.398915
129;51.127666;71.399079
130;51.127632;71.399323
131;51.127612;71.399503
132;51.127593;71.399696
133;51.127566;71.399886
134;51.127539;71.400112
135;51.127504;71.400369
136;51.127469;71.400629
137;51.127459;71.400742
138;51.127442;71.400887
139;51.12742;71.40105
140;51.127385;71.401308
141;51.127366;71.40149
142;51.127324;71.401828
143;51.1273;71.402043
144;51.127275;71.402255
145;51.127235;71.402528
146;51.127223;71.402716
147;51.127169;71.403035
148;51.12714;71.403239
149;51.127095;71.403523
150;51.127048;71.403802
151;51.127001;71.404046
152;51.126955;71.404339
153;51.126917;71.404653
154;51.126854;71.404993
155;51.126801;71.405323
156;51.126782;71.405575
157;51.126753;71.405696
158;51.126705;71.405774
159;51.126632;71.405846
160;51.126589;71.406054
161;51.126566;71.406219
162;51.126588;71.406369
163;51.126634;71.406493
164;51.126595;71.406739
165;51.126556;71.406943
166;51.126506;71.407217
167;51.126474;71.407437
168;51.126427;71.407734
169;51.126391;71.407992
170;51.126329;71.408392
171;51.126277;71.408719
172;51.126216;71.409097
173;51.126186;71.409344
174;51.126124;71.409687
175;51.126099;71.409923
176;51.126067;71.410119
177;51.126021;71.410368
178;51.125989;71.410634
179;51.125944;71.410921
180;51.125893;71.411256
181;51.125838;71.411565
182;51.125812;71.411763
183;51.125775;71.411996
184;51.12574;71.412219
185;51.125686;71.412482
186;51.125651;71.412707
187;51.125548;71.413214
188;51.125952;71.413257
189;51.126363;71.413354
190;51.126585;71.413364
191;51.126733;71.413394
192;51.126748;71.413448
193;51.126827;71.41348
194;51.126903;71.413477
195;51.126937;71.413413
196;51.127142;71.413445
197;51.127339;71.413488
198;51.12756;71.413525
199;51.127708;71.413555
200;51.127873;71.413579
201;51.128;71.413606
202;51.128125;71.413617
203;51.128233;71.413649
204;51.128344;71.413668
205;51.128406;71.413676
206;51.128497;71.413702
207;51.128653;71.413702
208;51.12878;71.413743
209;51.128865;71.413751
210;51.129057;71.413783
211;51.129219;71.413826
212;51.129353;71.413847
213;51.129495;71.413877
214;51.129697;71.413909
215;51.129841;71.41392
216;51.129986;71.413941
217;51.130303;71.414
218;51.130454;71.414027
219;51.130619;71.414056
220;51.130865;71.414086
221;51.131027;71.414115
222;51.131145;71.414137
223;51.131343;71.414174
224;51.13148;71.414199
225;51.131614;71.414209
226;51.131825;71.414239
227;51.131983;71.414276
228;51.132149;71.414309
229;51.132313;71.414325
230;51.132479;71.414362
231;51.132659;71.414386
232;51.132878;71.414432
233;51.133029;71.414464
234;51.133503;71.414555
235;51.133864;71.4147
236;51.134029;71.414754
237;51.134231;71.414829
238;51.134278;71.414904
239;51.134373;71.414936
240;51.134431;71.414955
241;51.134478;71.414915
242;51.134492;71.414893
243;51.134647;71.414955
244;51.13485;71.415033
245;51.135096;71.415137
246;51.135371;71.415274
247;51.135701;71.415435
248;51.135977;71.415585
249;51.136165;71.415773
250;51.136239;71.41587
251;51.136287;71.416052
252;51.136307;71.416224
253;51.13631;71.416336
254;51.136276;71.416465
255;51.136216;71.416535
256;51.136174;71.416794
257;51.136132;71.417055
258;51.136182;71.417168
259;51.136118;71.417527
260;51.136051;71.417935
261;51.135953;71.418466
262;51.135859;71.419051
263;51.135772;71.419464
264;51.135704;71.419973
265;51.13563;71.420349
266;51.13558;71.420724
267;51.135476;71.421234
268;51.135425;71.42161
269;51.135368;71.421942
270;51.135311;71.422028
271;51.135264;71.422216
272;51.135245;71.422399
273;51.135196;71.422575
274;51.135226;71.422666
275;51.135213;71.422806
276;51.135166;71.423117
277;51.135099;71.423535
278;51.134915;71.424426
279;51.134834;71.424909
280;51.13476;71.425434
281;51.134646;71.426153
282;51.134464;71.427162
283;51.134421;71.427414
284;51.134387;71.427615
285;51.134369;71.427803
286;51.134347;71.427899
287;51.1343;71.428165
288;51.134261;71.428414
289;51.134217;71.428666
290;51.134211;71.42879
291;51.134182;71.428964
292;51.134142;71.429206
293;51.134104;71.429401
294;51.134067;71.4296
295;51.134034;71.429814
296;51.133993;71.430024
297;51.133958;71.430257
298;51.133933;71.430413
299;51.133896;71.430649
300;51.133852;71.430893
301;51.133802;71.431126
302;51.133783;71.431292
303;51.133738;71.431472
304;51.133709;71.431646
305;51.133687;71.431783
306;51.133658;71.431923
307;51.133615;71.431931
308;51.133594;71.431941
309;51.133584;71.432045
310;51.133566;71.432159
311;51.133576;71.43225
312;51.133588;71.432317
313;51.133578;71.432389
314;51.133551;71.43254
315;51.133529;71.432649
316;51.133502;71.432859
317;51.133458;71.433097
318;51.133436;71.433264
319;51.133401;71.433484
320;51.133364;71.433671
321;51.133344;71.433867
322;51.133307;71.434025
323;51.13328;71.434229
324;51.133248;71.434398
325;51.133221;71.434559
326;51.133197;71.434688
327;51.133157;71.434903
328;51.133112;71.435171
329;51.133055;71.435493
330;51.132978;71.435879
331;51.13289;71.436281
332;51.132806;71.436732
333;51.132732;71.437086
334;51.132688;71.437445
335;51.132617;71.437805
336;51.132553;71.438132
337;51.132473;71.43854
338;51.132412;71.438974
339;51.132368;71.439269
340;51.132311;71.439596
341;51.132264;71.43994
342;51.1322;71.440315
343;51.132163;71.440589
344;51.132119;71.440911
345;51.132042;71.441377
346;51.131951;71.441866
347;51.131914;71.442204
348;51.13183;71.442649
349;51.131773;71.443185
350;51.131685;71.443695
351;51.131641;71.444081
352;51.13156;71.444585
353;51.131483;71.445063
354;51.131409;71.445519
355;51.131348;71.445937
356;51.131264;71.446479
357;51.131187;71.44694
358;51.131113;71.447375
359;51.131042;71.447954
360;51.130968;71.448351
361;51.130911;71.44877
362;51.130816;71.449392
363;51.130732;71.449912
364;51.130641;71.450433
365;51.130567;71.450915
366;51.130473;71.451473
367;51.130406;71.451988
368;51.130325;71.452455
369;51.130234;71.453066
370;51.130163;71.453565
371;51.130066;71.454011
372;51.130025;71.454349
373;51.129958;71.454724
374;51.129881;71.45518
375;51.129813;71.455625
376;51.129746;71.455963
377;51.129679;71.456376
378;51.129631;71.456682
379;51.129536;71.457165
380;51.129482;71.457524
381;51.129435;71.457825
382;51.129397;71.45798
383;51.129374;71.45827
384;51.129273;71.45879
385;51.129219;71.459182
386;51.129169;71.459504
387;51.129091;71.460008
388;51.128997;71.460577
389;51.12893;71.460968
390;51.128882;71.461365
391;51.128795;71.461875
392;51.128744;71.462234
393;51.12868;71.462663
394;51.12864;71.463012
395;51.128552;71.463495
396;51.128502;71.463811
397;51.128482;71.463908
398;51.128445;71.464133
399;51.128394;71.464412
400;51.128381;71.464557
401;51.128317;71.464611
402;51.12826;71.464643
403;51.128223;71.46489
404;51.128233;71.464956
405;51.128192;71.465126
406;51.128169;71.465319
407;51.128233;71.465442
408;51.128175;71.4657
409;51.128148;71.466086
410;51.128071;71.466472
411;51.128034;71.46674
412;51.12799;71.467019
413;51.12794;71.46732
414;51.12792;71.467529
415;51.127879;71.467824
416;51.127849;71.468012
417;51.127819;71.468173
418;51.127748;71.468741
419;51.127657;71.469294
420;51.127596;71.469755
421;51.127495;71.470351
422;51.127448;71.470597
423;51.127367;71.471128
424;51.127344;71.471263
425;51.127293;71.471365
426;51.127253;71.471466
427;51.127219;71.471595
428;51.127199;71.471804
429;51.127169;71.47196
430;51.127128;71.472153
431;51.127118;71.472234
432;51.127056;71.472321
433;51.127048;71.472405
434;51.127088;71.472518
435;51.127058;71.472754
436;51.127058;71.473081
437;51.12698;71.47365
438;51.126883;71.474251
439;51.126785;71.474926
440;51.126664;71.475624
441;51.126536;71.476268
442;51.126462;71.47675
443;51.126341;71.477587
444;51.126186;71.477791
445;51.126085;71.47821
446;51.126017;71.478714
447;51.12595;71.479121
448;51.125916;71.479411
449;51.125945;71.479628
450;51.12591;71.479797
451;51.125896;71.480087
452;51.125916;71.480334
453;51.125829;71.480892
454;51.125714;71.481686
455;51.125586;71.482458
456;51.125458;71.483392
457;51.125391;71.484368
458;51.125519;71.485183
459;51.125741;71.485956
460;51.12591;71.486696
461;51.125997;71.486996
462;51.126172;71.486836
463;51.126347;71.486664
464;51.126583;71.486481
465;51.126644;71.486589
466;51.126776;71.486533
467;51.12692;71.486374
468;51.12696;71.48617
469;51.127371;71.485891
470;51.127869;71.485505
471;51.128078;71.485398
472;51.12826;71.485451
473;51.128374;71.48572
474;51.128441;71.485956
475;51.128465;71.486104
476;51.12851;71.486248
477;51.128627;71.486621
478;51.128721;71.48694
479;51.128993;71.487227
480;51.129098;71.487603
481;51.129212;71.487978
482;51.12932;71.488439
483;51.129495;71.489003
484;51.12961;71.489448
485;51.129748;71.489899
486;51.129832;71.490167
487;51.129801;71.490376
488;51.129785;71.490521
489;51.129845;71.490716
490;51.129919;71.490966
491;51.13004;71.491352
492;51.130205;71.49146
493;51.130303;71.49191
494;51.130512;71.492618
495;51.13071;71.493326
496;51.130845;71.493809
497;51.130986;71.494313
498;51.131128;71.494791
499;51.131239;71.495156
500;51.13131;71.495408
501;51.131326;71.495483
502;51.131273;71.495537
503;51.131121;71.495665
504;51.130963;71.495794
505;51.130801;71.495896
506;51.13071;71.495928
507;51.130663;71.495864
508;51.130613;71.495821
509;51.130582;71.495837
510;51.130502;71.495911
511;51.13037;71.495998
512;51.130269;71.496127
513;51.130259;71.496239
514;51.130101;71.496395
515;51.129963;71.496508
516;51.129775;71.496652
517;51.129529;71.496803
518;51.129313;71.496926
519;51.129084;71.497103
520;51.128808;71.497307
521;51.128576;71.497489
522;51.128384;71.497618
523;51.12828;71.497532
524;51.128219;71.497495
525;51.128139;71.497569
526;51.12801;71.497677
527;51.128;71.497865
528;51.127835;71.497999
529;51.127718;71.498079
530;51.127401;71.498294
531;51.127176;71.498471
532;51.126883;71.498691
533;51.126613;71.498852
534;51.126415;71.498997
535;51.126105;71.499238
536;51.125953;71.499217
537;51.125762;71.499254
538;51.12565;71.499329
539;51.125519;71.49942
540;51.125455;71.499533
541;51.125368;71.499619
542;51.125314;71.499721
543;51.125193;71.499828
544;51.125058;71.499946
545;51.124738;71.500129
546;51.124368;71.500257
547;51.123957;71.500332
548;51.123593;71.500311
549;51.123149;71.500214
550;51.122677;71.50015
551;51.122442;71.500043
552;51.122273;71.499764
553;51.122092;71.499646
554;51.121842;71.499538
555;51.121611;71.499498
556;51.121485;71.499592
557;51.121209;71.499496
558;51.12059;71.499281
559;51.120091;71.499066
560;51.119889;71.498981
561;51.119741;71.499892
562;51.11966;71.50044
563;51.119526;71.500579
564;51.119429;71.501082
565;51.119317;71.501759
566;51.119398;71.502135
567;51.119337;71.5025
568;51.119243;71.503122
569;51.119169;71.503648
570;51.118974;71.504935
571;51.118785;71.506222
572;51.11857;71.507617
573;51.118347;71.50913
574;51.118192;71.510042
575;51.118044;71.511008
576;51.117862;71.512059
577;51.117734;71.513089
578;51.117478;71.514634
579;51.117263;71.515911
580;51.117108;71.517016
581;51.116852;71.518657
582;51.116697;71.519644
583;51.116589;71.520385
584;51.116394;71.520706
585;51.116307;71.521071
586;51.116287;71.521462
587;51.116152;71.522187
588;51.116246;71.522552
589;51.11601;71.523936
590;51.115808;71.525223
591;51.11566;71.526157
592;51.115599;71.526532
593;51.115498;71.526564
594;51.115418;71.52679
595;51.115324;71.527308
596;51.115222;71.527905
597;51.115323;71.528152
598;51.115162;71.529043
599;51.115067;71.529697
600;51.114825;71.531264
601;51.11465;71.532412
602;51.114468;71.533592
603;51.114404;71.534085
604;51.114338;71.534509
605;51.114252;71.535086
606;51.114227;71.535214
607;51.114081;71.535579
608;51.113951;71.535735
609;51.11389;71.535794
610;51.113801;71.535821
611;51.113698;71.535874
612;51.113537;71.535834
613;51.113404;71.535772
614;51.113212;71.535695
615;51.112875;71.535582
616;51.11268;71.535485
617;51.11269;71.535249
618;51.112712;71.535094
619;51.112777;71.534726
620;51.112845;71.534286
621;51.112921;71.533828
622;51.11299;71.533374
623;51.113015;71.533206
624;51.112998;71.533098
625;51.112952;71.533039
626;51.112865;71.532996
627;51.112759;71.532948
628;51.112643;71.532905
629;51.112572;71.532884
630;51.112488;71.532843
631;51.112498;71.53276
