stop_sequence;stop_name;latitude;longitude;demand_level
1;Динмухамеда Кунаева;51.132307;71.419263;MEDIUM
2;НК КТЖ;51.131136;71.426739;MEDIUM
3;Монумент Байтерек;51.130002;71.434485;MEDIUM
4;Дом Министерств;51.130321;71.440028;MEDIUM
