point_sequence;latitude;longitude
1;51.133174;71.414459
2;51.133174;71.414684
3;51.133114;71.414974
4;51.133073;71.41522
5;51.133036;71.415403
6;51.133016;71.415569
7;51.132986;71.415741
8;51.132969;71.415891
9;51.132959;71.416041
10;51.132925;71.416213
11;51.132898;71.416384
12;51.132885;71.416475
13;51.132838;71.416663
14;51.132831;71.41684
15;51.132767;71.417055
16;51.132754;71.417291
17;51.132713;71.417484
18;51.132686;71.41765
19;51.13266;71.417827
20;51.132619;71.418122
21;51.132565;71.418342
22;51.132528;71.418637
23;51.132501;71.418846
24;51.132407;71.419001
25;51.132336;71.419098
26;51.132307;71.419263
27;51.132289;71.41942
28;51.132353;71.419597
29;51.132347;71.419731
30;51.132326;71.419865
31;51.13231;71.420015
32;51.132283;71.420171
33;51.132235;71.420396
34;51.132225;71.420648
35;51.132165;71.420878
36;51.132135;71.421093
37;51.132101;71.421303
38;51.132071;71.421555
39;51.132037;71.421866
40;51.13197;71.422252
41;51.131916;71.422558
42;51.131849;71.422939
43;51.131842;71.423175
44;51.131771;71.423432
45;51.131704;71.423856
46;51.131674;71.424097
47;51.131633;71.424472
48;51.131583;71.424762
49;51.131556;71.425046
50;51.131475;71.42539
51;51.131428;71.42569
52;51.131398;71.425942
53;51.131371;71.426097
54;51.131277;71.426194
55;51.131206;71.426215
56;51.131159;71.426425
57;51.131136;71.426739
58;51.131074;71.426973
59;51.131115;71.427236
60;51.131165;71.427316
61;51.131132;71.427595
62;51.131061;71.427976
63;51.131041;71.428255
64;51.130997;71.428539
65;51.130943;71.428775
66;51.130896;71.429113
67;51.130849;71.429381
68;51.130837;71.429533
69;51.130793;71.429726
70;51.130788;71.429865
71;51.130741;71.430144
72;51.130712;71.430294
73;51.130663;71.43067
74;51.130593;71.431069
75;51.130537;71.431388
76;51.130488;71.431828
77;51.13043;71.432163
78;51.130371;71.432485
79;51.130329;71.432732
80;51.130288;71.433008
81;51.130263;71.433228
82;51.130211;71.433547
83;51.13016;71.433802
84;51.130133;71.434027
85;51.1301;71.43422
86;51.130071;71.434249
87;51.130026;71.434314
88;51.130002;71.434485
89;51.129978;71.434642
90;51.129999;71.43476
91;51.130007;71.434832
92;51.13;71.43494
93;51.12996;71.435162
94;51.129931;71.435406
95;51.129894;71.435559
96;51.129876;71.435749
97;51.129834;71.43594
98;51.129808;71.436173
99;51.129773;71.436398
100;51.129736;71.436597
101;51.129686;71.436857
102;51.129654;71.437125
103;51.129625;71.437326
104;51.129595;71.437575
105;51.129548;71.437884
106;51.129499;71.438082
107;51.129452;71.438377
108;51.129388;71.438747
109;51.129341;71.439066
110;51.129329;71.439238
111;51.1293;71.439434
112;51.1293;71.439487
113;51.129357;71.439509
114;51.129411;71.439514
115;51.12949;71.43953
116;51.129558;71.439562
117;51.129617;71.439589
118;51.129718;71.439638
119;51.129815;71.439678
120;51.129916;71.439713
121;51.13001;71.439734
122;51.130105;71.439804
123;51.130206;71.439828
124;51.13027;71.439857
125;51.130276;71.439954
126;51.130291;71.440021
127;51.130321;71.440028
128;51.130362;71.440028
129;51.130409;71.439937
130;51.130446;71.439945
131;51.130537;71.440012
132;51.130616;71.440079
133;51.130764;71.440175
134;51.130837;71.440272
135;51.130904;71.440344
136;51.130956;71.440422
137;51.131017;71.440508
138;51.131059;71.440599
139;51.131106;71.440714
140;51.131165;71.440819
141;51.131212;71.44095
142;51.131251;71.44106
143;51.131293;71.441149
144;51.131331;71.441251
145;51.131394;71.441414
146;51.131446;71.441548
147;51.131495;71.441688
148;51.131545;71.441841
149;51.13159;71.441969
150;51.131617;71.442079
151;51.131639;71.44216
152;51.131658;71.442251
153;51.131688;71.442393
154;51.131705;71.442508
155;51.131723;71.442637
156;51.13173;71.442771
157;51.13173;71.442962
158;51.131723;71.443133
159;51.131708;71.443286
160;51.131712;71.443442
161;51.131705;71.443546
