stop_sequence;stop_name;latitude;longitude;demand_level
1;Хан Шатыр;51.133443;71.406906;MEDIUM
2;Центр материнства и детства;51.126202;71.403934;MEDIUM
3;Центр нового поколения Sana;51.120806;71.402121;MEDIUM
4;Национальный кардиологический центр;51.118766;71.401305;MEDIUM
5;ЖК Алтын Шар;51.116951;71.400712;MEDIUM
6;Школа-гимназия №97;51.114017;71.399664;MEDIUM
