stop_sequence;stop_name;latitude;longitude;demand_level
1;Улица Биржан Сала;51.190627;71.408654;LOW
2;Ильяса Есенберлина;51.189491;71.41234;LOW
3;Агротех Университет;51.187178;71.41536;LOW
4;Медицинский Университет;51.180708;71.417098;LOW
5;Политех Университет;51.175623;71.418471;LOW
6;БЦ Марден;51.170652;71.421025;LOW
7;Народный Банк;51.167282;71.426582;MEDIUM
8;Амангельды Иманова;51.163915;71.427532;MEDIUM
9;Жанибек Тархана;51.160346;71.428589;MEDIUM
10;Микрорайон Самал;51.1572;71.429388;HIGH
11;Парк Ататюрк;51.15186;71.438963;HIGH
12;Амман;51.150777;71.444387;HIGH
13;Дом Министерств;51.12967;71.438127;LOW
14;НК Казахстан Темир Жолы;51.131794;71.424941;MEDIUM
15;Динмухаммеда Кунаева;51.132784;71.418064;MEDIUM
16;Кардиохирургическая Клиника;51.127633;71.413214;HIGH
17;Центр Нейрохирургии;51.122698;71.412334;HIGH
18;БЦ Асыл-тау;51.117725;71.411508;HIGH
19;Дворец единоборств им. Ушкемпирова;51.114527;71.410929;HIGH
20;Стадион Астана-Арена;51.106543;71.408418;HIGH
21;Ледовый дворец Алау;51.100215;71.406305;MEDIUM
22;ЖК Экспо-Плаза;51.092403;71.403526;MEDIUM
23;Назарбаев Университет;51.089117;71.402282;MEDIUM
24;Центральный госпиталь МВД РК;51.081257;71.399524;MEDIUM
25;ЖК Будапешт;51.0778;71.398108;MEDIUM
26;Стелла Звезда Астаны;51.073481;71.396799;MEDIUM
27;Шоссе Каркаралы;51.066892;71.401348;MEDIUM
28;ЖК Family Park;51.06355;71.406809;MEDIUM
29;Канал Нура-Есиль;51.05985;71.412753;MEDIUM
30;Садоводческое общество Авиатор;51.054458;71.421465;MEDIUM
31;Улица Жанадария;51.046592;71.430981;MEDIUM
32;ж/м Пригородный;51.042635;71.431121;MEDIUM
33;Арнасай;51.041718;71.433942;MEDIUM
34;Мечеть Альжан Ана;51.041732;71.438009;MEDIUM
35;Международный Аэропорт;51.02765;71.460375;MEDIUM
