point_sequence;latitude;longitude
1;51.195119;71.407979
2;51.194958;71.4077
3;51.194642;71.407828
4;51.194453;71.408408
5;51.194312;71.40873
6;51.193552;71.408129
7;51.192705;71.407431
8;51.191892;71.406809
9;51.191636;71.406648
10;51.19136;71.406702
11;51.191098;71.407539
12;51.190822;71.408354
13;51.190627;71.408654
14;51.190594;71.409084
15;51.190466;71.409523
16;51.190184;71.410393
17;51.189928;71.411154
18;51.189679;71.411943
19;51.189491;71.41234
20;51.189394;71.412823
21;51.189088;71.413772
22;51.188886;71.414459
23;51.188543;71.414899
24;51.188146;71.415124
25;51.187709;71.415242
26;51.187178;71.41536
27;51.186855;71.415532
28;51.186475;71.415644
29;51.185517;71.415886
30;51.184757;71.416111
31;51.183768;71.41639
32;51.183197;71.41654
33;51.18208;71.416851
34;51.181253;71.417055
35;51.180708;71.417098
36;51.18019;71.417356
37;51.179673;71.417495
38;51.17902;71.417667
39;51.178321;71.417871
40;51.177379;71.418117
41;51.176908;71.418225
42;51.176458;71.418375
43;51.176;71.418536
44;51.175623;71.418471
45;51.175368;71.418707
46;51.174709;71.41889
47;51.174258;71.419019
48;51.173868;71.419137
49;51.17298;71.419373
50;51.172536;71.419491
51;51.17218;71.419619
52;51.171635;71.419748
53;51.171191;71.419898
54;51.170787;71.419995
55;51.170686;71.420306
56;51.170713;71.420681
57;51.170652;71.421025
58;51.170726;71.421368
59;51.170868;71.421722
60;51.170928;71.422387
61;51.171002;71.42302
62;51.171117;71.423911
63;51.171191;71.424608
64;51.171258;71.425155
65;51.171318;71.425617
66;51.171022;71.425778
67;51.170774;71.425842
68;51.170451;71.425917
69;51.16996;71.426035
70;51.169596;71.426164
71;51.169051;71.426336
72;51.16856;71.426464
73;51.168217;71.426582
74;51.167962;71.426657
75;51.167706;71.426733
76;51.167491;71.426775
77;51.167282;71.426582
78;51.167161;71.426851
79;51.167161;71.426851
80;51.166811;71.426969
81;51.166589;71.427017
82;51.166229;71.427135
83;51.16596;71.427194
84;51.165718;71.42728
85;51.165355;71.427382
86;51.165008;71.427489
87;51.164675;71.427585
88;51.164282;71.427687
89;51.163915;71.427532
90;51.163703;71.427838
91;51.163333;71.427961
92;51.162929;71.428041
93;51.162566;71.428149
94;51.162142;71.428267
95;51.161799;71.428363
96;51.161486;71.428455
97;51.161062;71.428573
98;51.160675;71.428691
99;51.16044;71.428739
100;51.160346;71.428589
101;51.160191;71.428814
102;51.159515;71.428986
103;51.159054;71.42913
104;51.158192;71.42935
105;51.157634;71.429522
106;51.157331;71.429613
107;51.15716;71.429399
108;51.157028;71.429678
109;51.156463;71.42979
110;51.15612;71.429887
111;51.155743;71.429989
112;51.155508;71.429983
113;51.155508;71.429983
114;51.155114;71.430171
115;51.154707;71.430509
116;51.154313;71.430992
117;51.153852;71.431861
118;51.153489;71.432376
119;51.15293;71.433384
120;51.152439;71.434296
121;51.152143;71.435144
122;51.152022;71.436034
